"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ACAM","Acamar Partners Acquisition Corp.","9.81","374709156.12","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","10.02","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","0.75","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","2.27","187691372.48","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","16.59","903489558.51","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","44.59","2355850402.36","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xlrn",
"ARAY","Accuray Incorporated","3.715","327009516.64","n/a","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.3","182701746.6","n/a","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","2.62","26428891.06","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acer",
"ACHV","Achieve Life Sciences, Inc. ","1.8606","14560248.0996","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/achv",
"ACHN","Achillion Pharmaceuticals, Inc.","4.82","668656071.32","n/a","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","30.89","3415296908.21","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","1.01","41685031.08","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","17.81","286599517.36","n/a","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",
"ACNB","ACNB Corporation","36.13","255434005.67","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","2.955","142223180.76","n/a","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/acor",
"ACTT","Act II Global Acquisition Corp.","9.83","368625000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/actt",
"ACTTU","Act II Global Acquisition Corp.","10.22","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acttu",
"ACTTW","Act II Global Acquisition Corp.","0.8","17400000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acttw",
"ATVI","Activision Blizzard, Inc","49.34","37794771515.46","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/atvi",
"ADMS","Adamas Pharmaceuticals, Inc.","6.12","168503251.32","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","0.975","46447156.275","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/admp",
"ADAP","Adaptimmune Therapeutics plc","1.99","162668384.93","81742907","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adap",
"ADPT","Adaptive Biotechnologies Corporation","39.76","4899395384.8","n/a","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adpt",
"ADUS","Addus HomeCare Corporation","81.44","1073590781.12","n/a","2009","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","1.77","18339486.84","n/a","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/aey",
"IOTS","Adesto Technologies Corporation","10.07","299280762.52","n/a","2015","Technology","Semiconductors","https://www.nasdaq.com/symbol/iots",
"ADIL","Adial Pharmaceuticals, Inc","1.73","17686999.27","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adil",
"ADILW","Adial Pharmaceuticals, Inc","0.33","0","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adilw",
"ADMA","ADMA Biologics Inc","3.48","206425964.88","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Inc.","297.78","144553954548.36","n/a","1986","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adbe",
"ADOM","ADOMANI, Inc.","0.194","14141290.694","n/a","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adom",
"ADTN","ADTRAN, Inc.","11.21","535940593.92","n/a","1994","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","1.38","110593578.12","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adro",
"ADES","Advanced Emissions Solutions, Inc.","12.4","230367435.6","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","50.3","1926921020.7","n/a","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","33.92","36821732497.28","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","0.4788","8939586.222","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adxs",
"ADVM","Adverum Biotechnologies, Inc.","12.32","785779024.8","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/advm",
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","22.2189","1110945","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwmc",
"DWSH","AdvisorShares Dorsey Wright Short ETF","26.7335","30075187.5","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwsh",
"BKCH","AdvisorShares Sabretooth ETF","27.0766","2707660","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bkch",
"ACT","AdvisorShares Vice ETF","24.49","13469500","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/act",
"AEGN","Aegion Corp","19.58","604912097.46","n/a","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","7.95","229639478.55","n/a","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agle",
"AEHR","Aehr Test Systems","1.39","31361241.16","n/a","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","0.9681","19725460.5597","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amtx",
"AERI","Aerie Pharmaceuticals, Inc.","22.92","1052436755.28","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","53.32","1276617192.56","n/a","2007","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/avav",
"ARPO","Aerpio Pharmaceuticals, Inc.","0.69","28005722.76","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/arpo",
"AEZS","AEterna Zentaris Inc.","2.51","41266307.6","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","0.28","5348999.6","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/aemd",
"GNMX","Aevi Genomic Medicine, Inc.","0.203","13147677.046","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/gnmx",
"AFMD","Affimed N.V.","2.765","172619243.09","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/afmd",
"AFYA","Afya Limited","25.31","2219247719.64","n/a","2019","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/afya",
"AGBA","AGBA Acquisition Limited","10","59750000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agba",
"AGBAR","AGBA Acquisition Limited","0.225","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agbar",
"AGBAU","AGBA Acquisition Limited","10.02","59869500","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agbau",
"AGBAW","AGBA Acquisition Limited","0.15","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/agbaw",
"AGEN","Agenus Inc.","2.605","349743559.22","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","1.09","48805633.99","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","27.43","649415673.4","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","42.71","2509335761.06","n/a","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","16.12","343614806.6","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","17.17","9406034253.01","n/a","2008","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agnc",
"AGNCB","AGNC Investment Corp.","25.55","8851799620.65","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncb",
"AGNCM","AGNC Investment Corp.","25.591","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncm",
"AGNCN","AGNC Investment Corp.","25.99","337870","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncn",
"AGFS","AgroFresh Solutions, Inc.","1.51","77694381.83","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.0116","0","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
"ALRN","Aileron Therapeutics, Inc.","0.5197","14453043.0526","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alrn",
"AIMT","Aimmune Therapeutics, Inc.","19.33","1207978768.55","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aimt",
"AIRT","Air T, Inc.","18.25","55416070.25","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt",
"AIRTP","Air T, Inc.","2.4","0","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airtp",
"AIRTW","Air T, Inc.","0.06","0","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airtw",
"ATSG","Air Transport Services Group, Inc","20.941","1243115766.57","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/atsg",
"AIRG","Airgain, Inc.","11.22","112890276.84","n/a","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/airg",
"ANTE","AirNet Technology Inc.","1","9035549","9035549","n/a","Technology","Advertising","https://www.nasdaq.com/symbol/ante",
"AKAM","Akamai Technologies, Inc.","88.89","14489070000","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","1.85","30449368.3","16459118","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aktx",
"AKCA","Akcea Therapeutics, Inc.","21.99","2040021030.03","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akca",
"AKBA","Akebia Therapeutics, Inc.","4.18","492665634.56","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akba",
"KERN","Akerna Corp.","9.65","71711562.5","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/kern",
"KERNW","Akerna Corp.","1.5","0","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/kernw",
"AKRO","Akero Therapeutics, Inc.","27.1","732922806.2","n/a","2019","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akro",
"AKER","Akers Biosciences Inc.","0.4299","5372764.6692","n/a","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","3.175","400503844.025","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akrx",
"AKTS","Akoustis Technologies, Inc.","5.6","168317105.6","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts",
"ALRM","Alarm.com Holdings, Inc.","50.55","2443224505.95","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/alrm",
"ALSK","Alaska Communications Systems Group, Inc.","1.82","97888001.12","n/a","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk",
"ALAC","Alberton Acquisition Corporation","10.141","148968754.75","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alac",
"ALACR","Alberton Acquisition Corporation","0.26","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacr",
"ALACU","Alberton Acquisition Corporation","10.5","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacu",
"ALACW","Alberton Acquisition Corporation","0.12","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/alacw",
"ALBO","Albireo Pharma, Inc.","24.95","300380659.75","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/albo",
"ABDC","Alcentra Capital Corp.","8.24","106094663.84","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abdc",
"ALDR","Alder BioPharmaceuticals, Inc.","9.99","835535967.66","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","5.41","148723880.91","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldx",
"ALEC","Alector, Inc.","17.78","1224540461.76","n/a","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/alec",
"ALXN","Alexion Pharmaceuticals, Inc.","112.11","25138075292.58","n/a","1996","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alxn",
"ALCO","Alico, Inc.","30.8","230276600.4","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","188.29","15038888183.49","n/a","2001","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","0.56","39760277.2","n/a","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alim",
"ALYA","Alithya Group inc.","2.88","139682600.64","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/alya",
"ALJJ","ALJ Regional Holdings, Inc.","1.515","63518549.025","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ALKS","Alkermes plc","22.885","3595934055.62","n/a","1991","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alks",
"ALLK","Allakos Inc.","83.8","3618924201.4","n/a","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/allk",
"ABTX","Allegiance Bancshares, Inc.","32.58","689337804.96","n/a","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx",
"ALGT","Allegiant Travel Company","148.74","2425366785.42","n/a","2006","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/algt",
"ALGR","Allegro Merger Corp.","10.1","192506000","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algr",
"ALGRR","Allegro Merger Corp.","0.22","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algrr",
"ALGRU","Allegro Merger Corp.","10.55","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algru",
"ALGRW","Allegro Merger Corp.","0.2899","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/algrw",
"ALNA","Allena Pharmaceuticals, Inc.","4","83264256","n/a","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/alna",
"ARLP","Alliance Resource Partners, L.P.","16.47","2114602915.77","n/a","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp",
"LNT","Alliant Energy Corporation","51.32","12189581517.68","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/lnt",
"AHPI","Allied Healthcare Products, Inc.","1.63","6542065.31","n/a","1992","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","36","345594924","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/amot",
"ALLO","Allogene Therapeutics, Inc.","31.07","3776226672.4","n/a","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/allo",
"ALLT","Allot Ltd.","7.5","257332177.5","n/a","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","10.19","1696004493.75","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/mdrx",
"ALNY","Alnylam Pharmaceuticals, Inc.","82.98","9228010879.98","n/a","2004","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","11.4","276926656.8","n/a","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl",
"GOOG","Alphabet Inc.","1204.84","835434068014","n/a","2004","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","1206.03","836259212050.5","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/googl",
"SMCP","AlphaMark Actively Managed Small Cap ETF","22.31","21194455.38","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/smcp",
"ATEC","Alphatec Holdings, Inc.","5.8","347598344.2","n/a","2006","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/atec",
"ALPN","Alpine Immune Sciences, Inc.","3.83","71127515.99","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alpn",
"AMR","Alta Mesa Resources, Inc.","0.1459","55570256.4589","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amr",
"AMRWW","Alta Mesa Resources, Inc.","0.01","0","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amrww",
"AABA","Altaba Inc.","69.93","36329429824.38","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/aaba",
"ALTR","Altair Engineering Inc.","41.98","2989552301.44","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/altr",
"ATHE","Alterity Therapeutics Limited","0.97","6626802.35","6831755","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/athe",
"ALT","Altimmune, Inc.","2.28","34970640","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alt",
"ASPS","Altisource Portfolio Solutions S.A.","18.83","301259268.17","n/a","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","25.89","1670017802.73","n/a","2006","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aimc",
"ALTM","Altus Midstream Company","2.845","924423872.725","n/a","2017","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/altm",
"AMAG","AMAG Pharmaceuticals, Inc.","9.28","313357193.92","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amag",
"AMAL","Amalgamated Bank","16.22","515335108.7","n/a","2018","Consumer Non-Durables","Textiles","https://www.nasdaq.com/symbol/amal",
"AMRN","Amarin Corporation plc","17.8086","5833558115.592","327569720","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","13.91","97807469.5","n/a","n/a","Basic Industries","Other Specialty Stores","https://www.nasdaq.com/symbol/amrk",
"AMZN","Amazon.com, Inc.","1832.89","906650063333.35","n/a","1997","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","18.8","855786170.8","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","8.1865","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","46.78","1531556616.8","n/a","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/amba",
"AMCX","AMC Networks Inc.","53.49","2976382903.74","n/a","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/amcx",
"AMCI","AMCI Acquisition Corp.","9.98","275099658.08","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/amci",
"AMCIU","AMCI Acquisition Corp.","10.17","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/amciu",
"AMCIW","AMCI Acquisition Corp.","0.31","0","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/amciw",
"DOX","Amdocs Limited","64.1","8790097100","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dox",
"AMED","Amedisys Inc","136.04","4377076252.84","n/a","n/a","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/amed",
"AMTB","Amerant Bancorp Inc.","17.73","766017433.89","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amtb",
"AMTBB","Amerant Bancorp Inc.","14.485","625818529.605","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amtbb",
"UHAL","Amerco","357.915","7017921442.02","n/a","n/a","Consumer Services","Rental/Leasing Companies","https://www.nasdaq.com/symbol/uhal",
"AMRH","Ameri Holdings, Inc.","0.2802","14099016.1776","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amrh",
"AMRHW","Ameri Holdings, Inc.","0.04","0","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amrhw",
"ATAX","America First Multifamily Investors, L.P.","7.14","431442903.78","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","14.1","46541653523.1","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","29.08","12948472770.24","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/aal",
"AFIN","American Finance Trust, Inc.","11.79","1252228055.49","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/afin",
